"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"39" 0.257536475511108 NA 0.112588010644414 0.516337126233257 0.0206558 NA 0.0542683734110244 0.221896695760247 0.0122367764431851 NA 0.548084187711588 0.4322 0.5678 0.765 0.866 0.131235247311228
"40" 0.0478735302053756 0.217667808532715 0.0911949685534591 0.45315736053339 NA 0.4390842 0.0118572557023917 0.327075471698113 0.137957190065293 NA 0.647798742138365 0.4513 0.5487 0.225 0.328 0.340818852287766
"41" 0.0370926480271327 NA 0.131158638488714 NA NA NA 0.0573258452296352 0.398045313194136 0.446476874931638 NA 0.206257536333058 0.4506 0.5494 0.458 0.618 0.22800493703427
"42" NA NA 0.0313182329458989 0.462666536440683 NA NA 0.0264108432786019 0.673024414988642 NA NA 0.115568690589092 0.5699 0.4302 0.287 0.285 0.167513520435026
"43" NA NA 0.0161054172767204 0.410658650003131 NA NA 0.0311523895662021 0.653997071742313 NA NA 0.311185944363104 0.342 0.658 0.15 0.2 0.496580664890286
"44" 0.0948981375862278 0.158385496139526 0.0150986931050023 0.602861875682289 0.0024177 0.9418625 0.125862034490789 0.527280216313655 0.54449426648442 0.277113723777449 0.404807570977918 0.2329 0.7671 0.811 0.852 0.388161664777038
"45" NA 0.189103202819824 0.349274583557227 NA NA NA NA 0.198817839871037 NA NA 0.714669532509404 0.7159 0.2841 0.358 0.483 NA
"46" 0.001 NA 0.136476426799007 0.706126573076689 NA NA NA 0.223076923076923 0.001 NA 0.208436724565757 0.3381 0.6619 0.722 0.816 0.976853601940564
"47" 0.168302724152811 0.231095294952393 0.0454563258911085 0.729641642973089 NA NA 0.367526728421624 0.539757148452801 0.000550461294552441 0.293889483538669 0.35470035252644 0.2233 0.7768 0.945 0.952 0.478670339750495
"49" NA NA 0.296865987310133 NA 0.0042854 NA 0.0010364905179837 0.30763314747164 NA NA 0.603625264372236 0.2282 0.7718 0.932 0.944 NA
"53" 0.149043356933906 NA 0.407071622846781 0.59821335828774 0.0194865 NA 0.202081400402335 0.345421577515866 0.0294930637688671 0.33100953648113 0.546043258645253 0.2702 0.7298 0.991 0.991 NA
"54" 0.166611459277152 0.111387395858765 0.340240756663801 0.689112189685389 0.0287749 NA 0.117094046457141 0.327285755230725 0.0221306570865914 0.282368224952355 0.479363714531384 0.2449 0.7551 0.992 0.993 NA
"55" NA NA 0.000862812769628991 NA NA NA NA 0.00241587575496117 NA NA 0.734253666954271 0.2257 0.7743 0.474 0.598 NA
"56" NA NA 0.08 0.706713378855336 NA NA NA 0.577733333333333 NA NA 0.333333333333333 0.3018 0.6982 NA NA 0.63223432615454
"57" 0.159628968014638 NA 0.575457858123137 0.749725796198304 0.0301387 NA 0.0746766282796497 0.144858265108135 0.0482021641303922 0.407188145449989 0.622071837584591 0.1215 0.8785 0.996 0.996 NA
"58" 0.0383071371273795 NA 0.165597184847858 0.67851459812438 NA 0.9176376 0.0273457649394789 0.410474021941627 0.0048042283693337 0.158870200392916 0.486855723452701 0.2016 0.7984 0.84 0.862 0.415743413076393
"59" 0.00151223544674168 NA 0.031361092578916 0.508601510914715 NA NA 0.000422738730008787 0.00821247986241997 0.943258598704775 NA 0.173952583425318 0.287 0.713 0.876 0.898 0.0288251939372123
"65" 0.0716919766111896 0.120683097839355 0.0409768078595587 0.561395160550067 NA 0.9422264 0.070242325020394 0.50522950555645 0.376952903466132 NA 0.225547592204864 0.3602 0.6398 0.847 0.87 0.275126798097793
"66" 0.00783244918604674 NA 0.026822040283289 0.551775157782239 0.0072269 NA 0.0178617513971888 0.000733336681902657 0.184218709342853 NA 0.0376211763524034 0.5678 0.4322 0.947 0.968 0.143468679206339
"68" NA NA 0.0683168316831683 NA NA NA 0.000211211654953834 0.14950495049505 NA NA 0.751683168316832 NA NA 0.157 0.445 NA
"69" 0.0714609936902187 0.0959261035919189 0.245456908098599 0.740758215084777 0.0121961 0.9809372 0.226099499853791 0.368202754842966 0.0467499557450522 0.206520961028747 0.531336838527818 0.202 0.798 0.999 0.998 NA
"70" 0.113969724132762 0.142622604370117 0.152889832507667 0.703522982711709 0.0149502 NA 0.00898860249973456 0.526539278131635 0.102537716470656 0.0234266413453321 0.229841943854683 0.3253 0.6747 0.972 0.975 NA
"71" 0.0400331780154283 NA 0.15119 0.414611449053392 NA NA 0.0173818434925843 0.12499 4.46034713484175e-09 NA 0.3626 0.8008 0.1992 0.28 0.272 0.3331502456034
"74" 0.0872707485875355 0.12323450088501 0.0734081411036888 0.706042031999044 0.0290474 NA 0.217905714826591 0.731119813090263 0.0682203152141703 0.405797308971844 0.0746026522754944 0.1564 0.8436 0.976 0.994 NA
"75" 0.0229261018227399 NA 0.090311986863711 NA NA NA NA 0.556759715380405 6.11513111793425e-05 NA 0.232621784345922 0.459 0.541 0.911 0.934 0.209059063948998
"76" 0.268472469570315 NA 0.334816283966783 0.791674904031555 0.0223135 NA 0.500744086933953 0.310269067877865 0.0303785903510274 0.484257213079864 0.525360830014044 0.2025 0.7975 0.987 0.986 NA
"78" NA NA 0.0285714285714286 NA NA NA NA 0.918142857142857 NA 0.207522778407289 0.314285714285714 0.7752 0.2248 0.571 0.851 NA
"79" NA 0.113690299987793 0.0126130321729344 0.467723695348637 NA NA 0.013504886758504 0.892614584546125 NA NA 0.200256141576435 0.1263 0.8737 0.419 0.434 0.378076510449275
"80" 0.208121555995786 0.13659839630127 0.257657173562601 0.802230995975383 0.0170304 NA 0.112996082190574 0.129954945645435 0.0765493456569077 0.386157202861729 0.712272144835283 0.1717 0.8284 0.992 0.991 NA
"81" 0.0556707700095321 NA 0.065764858252986 0.653657686965096 0.0032046 0.9958619 0.16711500406727 0.406159159591308 0.0844623335738357 0.256899929661442 0.368024176140452 0.4617 0.5383 0.863 0.952 0.999
"82" NA 0.210173606872559 0.206557088863497 0.522427049808487 NA NA 0.0798804846808455 0.410345433769887 NA NA 0.689988573437637 0.4532 0.5468 0.149 0.202 0.562902181151333
"84" 0.00956637361951955 0.119895095825195 0.126159856747518 0.429132963737163 NA 0.3200386 NA 0.258993976884259 0.00353382610979752 NA 0.590102555754517 0.6235 0.3765 0.201 0.341 0.223170252429568
"85" NA NA 0.434782608695652 0.688215483759675 NA NA NA 0.482213438735178 NA NA 0.597826086956522 0.3978 0.6022 0.589 0.615 0.001
"86" NA NA 0.106685633001422 NA NA 0.4558116 NA 0.701280227596017 NA NA 0.579658605974395 0.4991 0.5009 0.208 0.335 0.299021529874094
"87" NA NA 0.0427807486631016 0.433393455134168 NA NA NA 0.559001782531194 NA NA 0.101247771836007 0.599 0.401 0.745 0.799 NA
"88" 0.109867954920028 NA 0.201706749418154 0.802083312455941 0.0095673 NA 0.0532426791942881 0.314507370054306 0.298503759745733 0.534082926521047 0.634212567882079 0.2167 0.7833 0.99 0.992 NA
"89" NA NA 0.0882352941176471 0.773918498822404 NA NA NA 0.499705882352941 NA NA 0.235294117647059 0.6438 0.3562 0.98 0.975 0.726320870658798
"91" 0.0501930041062366 0.219593906402588 0.0871407241508025 0.626042116618628 NA 0.812859 0.0476523065905516 0.330347144456887 0.0413752542224737 NA 0.354031354983203 0.4797 0.5203 0.639 0.775 0.324593125451814
"93" 0.000607176143878997 NA 0.0213360426720853 0.524470873849094 NA 0.8563973 NA 0.839522479044958 2.19624553928102e-05 NA 0.0853441706883414 0.7134 0.2866 0.837 0.879 0.516420461689168
"96" NA NA 0.091160961658772 0.582983737857753 NA 0.8719753 0.0481809722135851 0.410403074448119 NA 0.221189268517812 0.289123246045223 0.4469 0.5532 0.826 0.867 0.404050031681437
"98" 0.0898048130569844 NA 0.145318084345961 0.695478677855505 0.0085439 NA 0.106944154538155 0.343459614010007 0.10887645314533 NA 0.269621157969979 0.4072 0.5928 0.97 0.978 NA
"99" NA NA 0.388243831640058 NA NA NA 0.00186376817806066 0.0351959361393324 NA NA 0.667634252539913 0.4021 0.5979 0.276 0.336 0.234522252391195
"100" NA 0.0941304969787598 0.486468573953386 0.650941956415112 0.0137762 NA 0.19057685692772 0.228543024411797 NA 0.432876108282205 0.59052247873633 0.2833 0.7167 0.98 0.978 NA
"105" 0.0662895717822522 0.1767214012146 0.129721733082354 0.436605145667664 NA 0.9511622 0.0823127448587332 0.502381911822342 0.232148038506103 0.144945477019413 0.314644203646561 0.4553 0.5447 0.608 0.723 0.369993579962035
"108" 0.0751775804690333 NA 0.525899791133429 0.538023124508484 0.006274 NA 0.0301917170539718 0.237731191077597 0.120734470482309 NA 0.604064994164517 0.6686 0.3314 0.396 0.626 0.233987886663976
"110" 0.267646748269104 NA 0.153578168094063 0.575060113044896 NA NA 0.0403540674869884 0.109452750762084 0.00689221812901783 0.277213290162566 0.648279866453767 0.3647 0.6354 0.905 0.891 NA
"111" NA 0.196648597717285 0.0901728922615978 NA NA 0.8470524 0.0100742301639522 0.0656449077826076 NA NA 0.282136103538888 0.2612 0.7388 0.9 0.928 0.0157721411002396
"112" NA NA 0.115905323263953 NA 0.0003724 NA 0.0050942015821317 0.0189952109044023 0.999701677476767 NA 0.213414072573218 0.3041 0.6959 0.856 0.864 NA
"113" 0.19901612746053 NA 0.0120897755610973 NA 0.0221493 NA 0.889955258617059 0.00490773067331671 0.0161103715205781 0.307685275352283 0.186753117206983 0.0577 0.9423 0.988 0.987 NA
"114" 0.196631932205125 0.142821702957153 0.138863216266174 NA 0.0426632 NA 0.0517285045065369 0.0762476894639556 0.00794402146273399 0.368099582496057 0.248475046210721 0.0779 0.9221 0.999 0.999 NA
"115" NA 0.0800615978240967 0.228734616169171 0.738252717774582 0.0133488 NA 0.0931497212122937 0.316073978377643 NA 0.427393426307284 0.44747399197661 0.3088 0.6912 0.995 0.995 NA
"116" 0.000855976057370244 0.217974891662598 0.110803324099723 0.691102792540157 NA NA 0.00780815786934492 0.309510618651893 0.160769527453482 0.300086727811357 0.409972299168975 0.4497 0.5503 0.818 0.799 0.999
"117" 0.0181774298515101 NA 0.0267515206127506 0.667626429625073 NA NA 0.0192248516159856 0.0109822031989187 0.00120957592348965 0.264478148591993 0.119846812345123 0.161 0.8391 0.986 0.986 0.695083827856729
"118" 0.167820615846339 0.0928670024871826 0.115838270792188 NA 0.0328363 NA 0.0279151506935062 0.684606100504718 0.0177147496164696 0.172445816115196 0.123957647575159 0.0607 0.9393 0.999 0.999 NA
"119" 0.411905083627696 NA 0.108882468422417 0.616518693172759 0.0016944 NA 0.00928455747857578 0.0122569174352706 0.680182612212361 0.15487142712709 0.80376338111642 0.4677 0.5323 0.975 0.97 0.892633701935375
"120" NA 0.170810298919678 0.101908142109147 0.453569920928025 NA 0.7873304 0.159857975869643 0.0775380398495976 NA 0.217815262215541 0.485469304564782 0.7395 0.2606 0.301 0.312 0.304159855037757
"121" 0.118620410074957 0.161117706298828 0.0667674661105318 0.559215225517803 0.0012086 NA 0.30131806299069 0.0332116788321168 0.0969777076878407 0.219451396480378 0.550422314911366 0.6415 0.3585 0.933 0.891 0.999
"122" 0.00759983540556877 0.0909352970123291 0.215273056877408 0.416028794931251 0.0011827 NA 0.0250557641136372 0.535746657602538 2.95169431172446e-07 0.115969699894231 0.309030138227963 0.7906 0.2095 0.424 0.881 0.546165629207725
"123" NA NA 0.0246913580246914 NA NA NA NA 0.15 NA 0.729355252903866 0.419753086419753 0.5555 0.4445 0.397 0.512 NA
"124" NA NA 0.192307692307692 0.714367118119698 NA NA NA 0.423076923076923 NA NA 0.230769230769231 0.6785 0.3215 NA NA NA
"125" 0.268398930790793 NA 0.151415675010259 0.592444429459135 0.0422816 NA 0.154895970288363 0.634386540828888 0.0616776481443456 0.248995320496337 0.179349610176446 0.1741 0.8259 0.999 0.999 NA
"126" 0.0271709249328339 NA 0.005331088664422 NA NA NA 0.001 0.00350729517396184 0.891114849897646 0.522395453883141 0.0853535353535353 0.0164 0.9836 0.999 0.999 NA
"128" NA 0.121898803710938 0.0660745233968804 0.480152137798374 NA NA NA 0.812886048526863 NA 0.148924102992725 0.102642980935875 0.6035 0.3965 0.709 0.945 0.996184873683354
"129" NA NA 0.129032258064516 0.807555149295928 NA NA 0.0054494247451337 0.134213098729228 NA 0.2428091274205 0.643206256109482 0.1209 0.8791 0.807 0.807 0.647494702999917
"130" NA NA 0.0519102990033223 0.528 NA NA NA 0.433866279069767 NA NA 0.28031561461794 0.499 0.501 0.169 0.28 0.47170671178793
"131" NA NA 0.00977528217602328 NA NA NA 0.001 0.00123327687918433 NA NA 0.0872387101174171 0.2125 0.7875 0.966 0.968 NA
"132" NA 0.153015203475952 0.0491803278688525 NA NA NA NA 0.332786885245902 NA NA 0.173770491803279 0.8146 0.1854 0.905 0.847 0.374316828247324
"136" NA NA 0.145 NA NA NA NA 0.43125 NA NA 0.3325 0.8572 0.1428 NA NA NA
"137" 0.00836279814206368 0.107820100784302 0.207303460373146 0.621937508761833 NA NA 0.0388920548117089 0.330090894594164 0.0181561623291293 0.180481034141265 0.436931908786477 0.8159 0.1841 0.951 0.881 0.545818942378337
"140" NA NA 0.0896903820816864 NA 0.0005284 0.766352 NA 0.0161396574440053 NA NA 0.750098814229249 0.7216 0.2784 0.303 0.373 NA
"142" 0.11852773928224 NA 0.3751316839585 0.680150425579853 0.0104246 NA 0.0139148418932893 0.347964884277733 0.164573269076869 0.0960492148480352 0.471252992817239 0.3349 0.6651 0.924 0.972 NA
"143" 0.06823001117601 0.0962924957275391 0.241737451737452 0.874375332918583 0.0128773 NA 0.00717717012788174 0.334749034749035 0.00492039161042442 0.382656303427 0.505752895752896 0.0957 0.9043 0.976 0.975 NA
"144" NA 0.139645500183105 0.194435509810228 0.749173489654812 0.006255 NA 0.0423049797115354 0.53972338372467 NA 0.424412610943239 0.30106143454487 0.3264 0.6736 0.878 0.908 NA
"147" 0.0353681437301607 NA 0.182164463365449 0.573937796975083 NA NA 0.0161339479187778 0.126193143625364 0.0148449688318015 NA 0.685447008738517 0.3932 0.6069 0.767 0.841 0.436261905508237
"148" NA 0.0500886011123657 NA NA NA NA NA NA NA NA NA 0.001 0.999 0.999 0.999 NA
"149" 0.039889272816873 0.18765100479126 0.55278369333739 0.713858888846911 0.0036967 NA 0.00830948830647152 0.12442957103742 0.00132809478531018 0.33918556171112 0.747794341344691 0.5491 0.4509 0.764 0.878 0.911006947941814
"150" 0.00186266127581626 NA 0.0601581299415607 0.564880029079496 NA NA NA 0.214386387074596 0.0303892256285304 NA 0.711842557579924 0.6426 0.3574 0.12 0.18 0.310850062560672
"151" NA 0.101389102935791 0.13 0.730340110109785 NA 0.9861012 NA 0.0333333333333333 NA NA 0.263333333333333 0.5346 0.4654 0.979 0.975 0.335123261994739
"153" 0.146869368099466 0.190701808929443 0.118280254121762 0.634649550685548 0.0055238 0.9455588 0.051776677965063 0.339720671827979 0.0606732741555305 NA 0.548908150929808 0.2048 0.7952 0.852 0.88 0.37536919138621
"154" NA NA 0.111111111111111 NA NA NA NA 0.702222222222222 NA NA 0.638888888888889 0.2706 0.7294 0.769 0.845 NA
"156" 0.0298731233436952 NA 0.164155432196669 0.604039560097929 0.0044329 NA 0.0456298335274528 0.395717684377478 0.0117052853313547 NA 0.500793021411578 0.428 0.572 0.909 0.972 0.705507029565103
"157" NA 0.182242603302002 0.0525409977134708 0.402272963945287 NA NA NA 0.0386415230414935 0.001 0.126164179838699 0.337660528278383 0.5932 0.4068 0.247 0.375 0.288714160878549
"158" 0.31903115900356 NA 0.2803125 0.842593206296288 0.0076923 NA 0.0130449890010812 0.0109375 0.123162752739912 0.384789475825231 0.3196875 0.0447 0.9553 0.999 0.999 NA
"159" NA NA 0.165201812947878 0.423 NA NA 0.0393233431330869 0.444677528021069 NA NA 0.193620995896368 0.6535 0.3465 0.796 0.843 NA
"161" NA NA 0.0064907063197026 0.69299999035344 0.0038019 NA 0.157522989875673 0.614869888475836 NA NA 0.171241635687732 0.3578 0.6422 0.959 0.98 0.650791580367528
"162" 0.0403112124429817 NA 0.00365096938644146 0.514367030388919 0.0015501 NA 0.00272009058534228 0.0808002265763794 0.226972300135775 NA 0.72695293390664 0.2718 0.7282 0.597 0.664 0.999
"163" NA NA 0.0217391304347826 NA NA NA NA 0.641304347826087 NA NA 0.0652173913043478 0.1079 0.8921 0.797 0.797 NA
"164" 0.11612054319666 NA 0.0718482158752766 0.535861188743138 0.0033732 NA 0.119547403439507 0.482463948727078 0.303796249999565 NA 0.635189094330985 0.6749 0.3251 0.205 0.424 0.695036527886813
"165" NA NA 0.00436596487823809 0.426 NA NA NA 0.00217813136703211 NA NA 0.385281847288251 0.3955 0.6045 0.4 0.575 NA
"166" 0.000596262204947342 0.20905179977417 0.369458128078818 NA NA 0.9247476 0.00730254097600308 0.190147783251232 2.19265774766184e-05 NA 0.423645320197044 0.6045 0.3955 0.931 0.939 0.999
"167" 0.0215684896940394 0.163340301513672 0.403054730589733 0.557853651123467 NA 0.6514537 NA 0.333792957148918 0.000202459803518657 0.186729778877219 0.614128128977514 0.8355 0.1645 0.41 0.473 0.273315888825819
"168" 0.428009454401724 0.197043704986572 0.0290366763049764 0.556760133530288 0.0129813 NA 0.0130529798209732 0.675544057221123 0.160936100084121 0.186040683274366 0.238593821336174 0.2463 0.7537 0.96 0.961 0.663082288332409
"170" NA NA 0.00971711061715799 NA NA NA 0.0716747250361754 0.0840408604501452 NA 0.375054048169866 0.471389182426605 0.5238 0.4763 0.344 0.545 NA
"171" 0.0502825609697115 NA 0.00341356673960613 NA NA NA NA 0.458971553610503 0.000132007116990045 NA 0.100787746170678 0.2926 0.7074 0.999 0.999 NA
"172" 0.142426656383989 0.216615009307861 0.125523012552301 NA NA NA 0.000119184142965537 0.00901555222230994 0.198306814480433 NA 0.353532801768375 0.8099 0.1901 0.109 0.379 0.408491637093617
"173" NA NA 0.373310495514784 0.603599705329006 NA NA 0.00341297141149836 0.0767811851510261 NA NA 0.777364208307256 0.514 0.486 0.29 0.328 0.0623640653783836
"174" 0.00488474132371583 NA 0.124979225527672 0.559188991838527 0.0010795 NA 0.184524679002459 0.258766827322586 0.00296577613994904 0.159357867358802 0.420890809373442 0.4089 0.5911 0.679 0.765 0.849308373351548
"175" NA 0.119731702804565 0.310181062629861 0.785042113506689 0.0201329 NA 0.0235380149184938 0.111605817750074 NA 0.40974619049238 0.545888987830217 0.0897 0.9103 0.977 0.975 NA
"176" 0.205199173296971 NA 0.0220810688715794 0.658185837892283 0.0193301 NA 0.413184000543237 0.331613026872373 0.577284872857966 0.387920446084968 0.0270147435283166 0.1927 0.8073 0.981 0.98 NA
"177" 0.00622566089301537 0.182812900543213 0.147450296477154 0.524347900409101 NA NA 0.0279268193053796 0.25364492500872 2.11759790980908e-06 0.159899512144417 0.287478200209278 0.8101 0.19 0.458 0.56 0.195838370956225
"178" NA NA NA NA NA NA NA 0.001 NA NA 0.2 0.001 0.999 0.656 0.656 NA
"179" 0.0961708408239113 0.180480403900146 0.0224070487258365 NA NA NA 0.345080074418348 0.385553150279139 0.0191804165701255 0.321030366824889 0.422163989214234 0.1368 0.8632 NA NA NA
"181" 0.0412576562741656 NA 0.00122778675282714 0.504976928535305 0.0024647 0.919812 0.001 6.46203554119548e-05 0.6200364308441 NA 0.0474571890145396 0.2191 0.7809 0.967 0.973 NA
"183" 0.0155734397822201 0.113006601333618 0.394873391448734 0.556036208590038 0.0024554 0.5697715 0.0452060379767721 0.0190950601909506 0.0121089637256925 NA 0.470267745952677 0.6078 0.3922 0.635 0.831 0.228548847361704
"184" 4.67015970086288e-06 NA 0.0757331181059995 0.691584195814762 NA NA 0.105149672114921 0.621065375302664 0.00103034452300062 NA 0.303605057842346 0.3311 0.669 0.75 0.835 0.999
"185" 0.047377212536867 0.162198905944824 0.032434375 NA 0.0011729 0.9370795 0.0820909516934598 0.5779140625 0.0874097114885501 0.206483584013878 0.1900828125 0.2108 0.7892 0.762 0.825 0.35591914505311
"186" 0.530641173951483 NA 0.187476942683704 0.595181163496511 NA NA 0.202669497441412 0.269644833484254 0.013012920932518 0.141060815046553 0.417211657779119 0.5571 0.4429 0.739 0.779 0.220188941710805
"187" 0.406710076790732 NA 0.0217391304347826 NA NA NA NA 0.876086956521739 NA NA 0.108695652173913 0.1236 0.8764 0.999 0.999 NA
"188" NA NA 0.00662456388287771 NA NA NA NA 0.74104579781831 NA NA 0.0262774367354149 0.8696 0.1304 0.189 0.564 NA
"189" 0.0877709831877351 0.116497898101807 0.356902576831379 0.642486416968088 0.0100337 NA 0.00942257239259764 0.308142003331265 0.0325039841547711 0.342119666251881 0.471080048336001 0.3947 0.6053 0.972 0.975 NA
"192" NA NA 0.195166514409102 NA NA NA 0.0938615471657213 0.417822439996678 NA NA 0.218420396976995 0.3895 0.6105 0.819 0.879 NA
"193" NA 0.0988801002502441 0.124120954096392 0.753300955398676 0.0127885 NA 0.12757550508263 0.347360951913105 NA 0.444913936673127 0.404082746574969 0.3598 0.6402 0.997 0.996 NA
"194" 0.0568059270088295 NA 0.120815504656431 0.497352656374631 0.0012931 0.9461672 0.919848566792861 0.385678328718852 0.252043589631887 0.214612947367705 0.550843191542915 0.4008 0.5992 0.886 0.955 0.619656107390631
"199" 0.0340750750649916 0.127431497573853 0.0112833763996555 0.476336340015784 NA 0.9774669 0.001 0.001 0.827669232542391 NA 0.0565030146425495 0.0068 0.9932 0.98 0.98 NA
